name,price_mkd,image_url,source,in_stock
Графичка картичка AMD Radeon Pro WX 3200 4GB GDDR5,10290,https://50cdn.gjirafamall.tech/images/8da3343a-88a1-401a-9160-2f05e45101e2/8da3343a-88a1-401a-9160-2f05e45101e2.jpeg,gjirafa50,yes
Графичка картичка ASRock Arc A310 Low Profile 4GB GDDR6,10990,https://50cdn.gjirafamall.tech/images/44b5610c-1d53-464f-a21a-d34ffd007874/44b5610c-1d53-464f-a21a-d34ffd007874.jpeg,gjirafa50,no
Графичка картичка Biostar GeForce GTX 1050 Ti 4GB GDDR5,11390,https://50cdn.gjirafamall.tech/images/5e6d6319-ca7d-4864-a71c-28e1bfc58d99/5e6d6319-ca7d-4864-a71c-28e1bfc58d99.jpeg,gjirafa50,yes
Графичка картичка Sparkle Arc A310 ECO 4GB GDDR6,12490,https://50cdn.gjirafamall.tech/images/53c22257-5008-42d3-9cac-4f9158868d1f/53c22257-5008-42d3-9cac-4f9158868d1f.jpeg,gjirafa50,no
Графичка картичка Biostar GeForce GTX 1050 Ti 4G GDDR5,12790,https://50cdn.gjirafamall.tech/images/e8bf1127-ff0f-4931-972c-c8f80ecff791/e8bf1127-ff0f-4931-972c-c8f80ecff791.jpeg,gjirafa50,yes
AFOX NVIDIA Geforce GTX1660Super,12999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17427_0-01JVA6E0Z6EBQEK33TFRTJGZEY.webp,setec,no
Графичка картичка ASRock Intel Arc A380 Challenger ITX OC 6GB GDDR6,13190,https://50cdn.gjirafamall.tech/images/d9a7c58b-7db4-4139-89a7-15aa3cf9f788/d9a7c58b-7db4-4139-89a7-15aa3cf9f788.jpeg,gjirafa50,yes
AFOX AMD Radeon RX5500,13299,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88645_AFOX%20AMD%20Radeon%20RX5500-01KJCR41ERKVA1NQAD7DXRM20B.jpg,setec,yes
Gigabyte GTX1050 TI LP 4GB GDDR5 HDMI DVI DP,13999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17331_0-01JVW5KBH2QVMGGC8FVQN1H41P.webp,setec,yes
Графичка картичка Biostar GeForce GT 730 4GB DDR3,14390,https://50cdn.gjirafamall.tech/images/2c0fbb2f-0f12-4393-a10d-dbb89ce79ae4/2c0fbb2f-0f12-4393-a10d-dbb89ce79ae4.jpeg,gjirafa50,no
ASUS DUAL-RTX3050-O6G,14599,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17511_0-01JVA6EJEFRAZBPJY9MHDVFVTJ.webp,setec,yes
"Графичка картичка Biostar Radeon RX580, 8GB GDDR5, 256bit, црна",14690,https://50cdn.gjirafamall.tech/images/407f9a38-5df7-44cb-a179-045aa2926265/407f9a38-5df7-44cb-a179-045aa2926265.jpeg,gjirafa50,no
ASUS DUAL-GTX1660S-O6G-EVO,14995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17087_0-01JVYC3REESDVVQG8EH2KMCGV9.webp,setec,no
"Графичка картичка Biostar NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6",15650,https://50cdn.gjirafamall.tech/images/98c72a75-fce9-4299-8f45-8f552084e310/98c72a75-fce9-4299-8f45-8f552084e310.jpeg,gjirafa50,yes
Графичка картичка Power Color Radeon RX 6500 XT 4GB GDDR6,15990,https://50cdn.gjirafamall.tech/images/e56b990a-9b5a-4729-994d-28a2a98774be/e56b990a-9b5a-4729-994d-28a2a98774be.jpeg,gjirafa50,no
AFOX RX580 8GB GDDR5 256BIT,15995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17319_0-01JVA6DV1TZ43FNSCR9KXZS2T2.webp,setec,yes
ASUS DUAL-RTX3050-O8G-V2,16499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17425_0-01JVW5KHWN7X7WEWC7R1QE6NPX.webp,setec,yes
AFOX AMD RX6600 8GB,16995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17698_0-01JVA6G1P8SFBV819W39W1KMHE.webp,setec,no
ASUS TUF-GTX1660TI-O6G-EVO-GAMING,16999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17252_0-01JWR725T82A3CER36KTSA2940.webp,setec,no
ASUS DUAL-RX7600-O8G-V2,17495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17421_0-01JVA6E0JP3A6SCRDY9H3AZQ2Q.webp,setec,no
Графичка картичка Dell Quadro P400 2GB GDDR5,18090,https://50cdn.gjirafamall.tech/images/0c4f6cef-f8b1-4f13-a62c-19d5fe3b79df/0c4f6cef-f8b1-4f13-a62c-19d5fe3b79df.jpeg,gjirafa50,yes
ASUS DUAL-RTX5050-O8G,18499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17757_ASUS DUAL-RTX5050-O8G-01K21RE4KGTPWA3Z84TKPXVPHD.jpg,setec,yes
Графичка картичка Sparkle Arc A750 ROC Luna OC 8GB GDDR6,18990,https://50cdn.gjirafamall.tech/images/90377351-5ea7-4bae-a0e0-050685d5558c/90377351-5ea7-4bae-a0e0-050685d5558c.jpeg,gjirafa50,no
ASUS DUAL-RX7600-O8G-EVO,19499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17724_0-01JVA6G7Y1PD800RKTYYD5G79G.webp,setec,yes
Графичка картичка Asus Dual GeForce RTX 3050 OC 6GB GDDR6,19890,https://50cdn.gjirafamall.tech/images/41689300-05fa-4083-ba82-11de76e11b89/41689300-05fa-4083-ba82-11de76e11b89.jpeg,gjirafa50,yes
"Блок за вода за графичка картичка Alphacool Core RX 9070 XT Asrock Steel Legend, aRGB, со задна плоча, проѕирен",19990,https://50cdn.gjirafamall.tech/images/3917e476-d4e0-42fa-986d-287d52c72a16/3917e476-d4e0-42fa-986d-287d52c72a16.jpeg,gjirafa50,no
ASUS PRIME-RTX5050-O8G,19999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88539_ASUS PRIME-RTX5050-O8G-01KDZ5RESYVSGE17S60ZYC9KNA.png,setec,yes
AFOX AMD RX6650XT 8GB,20499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17699_0-01JVA6G26Q9JX8DNZVVBZP6RR4.webp,setec,yes
Графичка картичка Asus Dual GeForce RTX 3050 OC V2 8GB GDDR6 (DUAL-RTX3050-O8G-V2),20890,https://50cdn.gjirafamall.tech/images/7194a386-83fa-4fed-aed9-cbaa3a91c6e8/7194a386-83fa-4fed-aed9-cbaa3a91c6e8.jpeg,gjirafa50,yes
Kartelë grafike Gigabyte GeForce RTX 4060 WINDFORCE OC 8G NVIDIA 8 GB GDDR6,22150,https://50cdn.gjirafamall.tech/images/e91ce041-68f0-47aa-b3a4-8b69d780b108/e91ce041-68f0-47aa-b3a4-8b69d780b108.jpeg,gjirafa50,yes
Графичка картичка Power Color Radeon RX 7600 Hellhound 8GB GDDR6,22890,https://50cdn.gjirafamall.tech/images/f205d17c-b9b8-42fd-9c78-7009d24dc8e3/f205d17c-b9b8-42fd-9c78-7009d24dc8e3.jpeg,gjirafa50,no
Графичка картичка Zotac Gaming GeForce RTX 3050 Solo 6GB GDDR6,22890,https://50cdn.gjirafamall.tech/images/eb533d3d-5fca-43bb-9658-d7d644ac0822/eb533d3d-5fca-43bb-9658-d7d644ac0822.jpeg,gjirafa50,no
Графичка картичка Gigabyte GeForce RTX 3060 Windforce OC LHR 12GB GDDR6,23790,https://50cdn.gjirafamall.tech/images/09fd9409-0a37-40b8-b7d9-dc4187131015/09fd9409-0a37-40b8-b7d9-dc4187131015.jpeg,gjirafa50,no
Графичка картичка Gigabyte Radeon RX 7600 Gaming OC 8GB GDDR6,23890,https://50cdn.gjirafamall.tech/images/5647b6fa-f897-4941-b10e-86fc483d7712/5647b6fa-f897-4941-b10e-86fc483d7712.jpeg,gjirafa50,yes
ASUS DUAL-RTX4060TI-O8G,23995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17415_0-01JVW5KFTN4E7128AP9DK30GSX.webp,setec,yes
ASUS DUAL-RTX4060TI-O8G-EVO,23995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17623_0-01JVW5KT0RA61C5G60176TW4X6.webp,setec,yes
